Dam_Type,Category
Concrete,Structural Integrity
Concrete,Vegetation and Surface Conditions
Concrete,Seepage and Drainage
Concrete,"Spillways, Outlets, and Appurtenant Structures"
Concrete,Instrumentation and Monitoring
Concrete,Miscellaneous
Concrete,Environmental
Earthen,Embankment Integrity
Earthen,Seepage and Drainage
Earthen,Vegetation and Surface Conditions
Earthen,"Spillways, Outlets, and Appurtenant Structures"
Earthen,Instrumentation and Monitoring
Earthen,Miscellaneous
Earthen,Environmental
